cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,concrete_compressive_strength
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.98999786376953
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.88999938964844
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27000045776367
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.04999923706055
198.60000610351562,132.39999389648438,0.0,192.0,0.0,978.4000244140625,825.5,360,44.29999923706055
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.029998779296875
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.70000076293945
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45000076293945
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.849998474121094
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.290000915527344
198.60000610351562,132.39999389648438,0.0,192.0,0.0,978.4000244140625,825.5,90,38.06999969482422
198.60000610351562,132.39999389648438,0.0,192.0,0.0,978.4000244140625,825.5,28,28.020000457763672
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.0099983215332
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33000183105469
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.810001373291016
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.90999984741211
139.60000610351562,209.39999389648438,0.0,192.0,0.0,1047.0,806.9000244140625,90,39.36000061035156
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.13999938964844
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.560001373291016
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.619998931884766
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84000015258789
139.60000610351562,209.39999389648438,0.0,192.0,0.0,1047.0,806.9000244140625,28,28.239999771118164
139.60000610351562,209.39999389648438,0.0,192.0,0.0,1047.0,806.9000244140625,3,8.0600004196167
139.60000610351562,209.39999389648438,0.0,192.0,0.0,1047.0,806.9000244140625,180,44.209999084472656
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52000045776367
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.29999923706055
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.150001525878906
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.119998931884766
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43000030517578
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.599998474121094
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.2599983215332
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.90999984741211
